日期,招聘单位,岗位类型,填报信息人数,初审通过人数,缴费人数
2.17,太原日报社-太原日报社,管理1,3,2,1
2.17,太原市发展和改革委员会-太原市粮食技工学校,专技1,2,0,0
2.17,太原市教育局-太原市财贸学校,管理1,6,4,0
2.18,太原日报社-太原日报社,管理1,6,3,1
2.18,太原市发展和改革委员会-太原市粮食技工学校,专技1,5,0,0
2.18,太原市教育局-太原市财贸学校,管理1,12,7,4
2.19,太原日报社-太原日报社,管理1,8,3,2
2.19,太原市发展和改革委员会-太原市粮食技工学校,专技1,4,3,0
2.19,太原市教育局-太原市财贸学校,管理1,17,12,7
2.20,太原日报社-太原日报社,管理1,11,6,4
2.20,太原市发展和改革委员会-太原市粮食技工学校,专技1,9,4,3
2.20,太原市教育局-太原市财贸学校,管理1,22,17,13
2.21,太原日报社-太原日报社,管理1,14,9,8
2.21,太原市发展和改革委员会-太原市粮食技工学校,专技1,13,4,4
2.21,太原市教育局-太原市财贸学校,管理1,32,28,18
2.22,太原日报社-太原日报社,管理1,18,14,9
2.22,太原市发展和改革委员会-太原市粮食技工学校,专技1,13,9,8
2.22,太原市教育局-太原市财贸学校,管理1,41,33,25
2.23,太原日报社-太原日报社,管理1,43,30,19
2.23,太原市发展和改革委员会-太原市粮食技工学校,专技1,15,11,9
2.23,太原市教育局-太原市财贸学校,管理1,50,41,30
